year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1852,Kings Norton (1913-1924),5,5,5,5,1.0,1
1852,Kings Norton (to 1912),5,5,5,5,1.0,1
1852,Kingsbridge,26,26,26,26,1.0,1
1852,Kingsclere (1837-1932),15,15,15,15,1.0,1
1852,Kingston,13,13,12,12,0.9230769230769231,1
1852,Knaresborough,58,58,52,52,0.896551724137931,1
1852,Knighton,20,20,11,11,0.55,1
1852,Lambeth,1,1,0,0,0.0,0
1852,Lampeter,14,14,10,10,0.7142857142857143,1
1852,Lancaster,46,46,38,38,0.8260869565217391,1
1852,Langport,29,29,28,28,0.9655172413793104,1
1852,Launceston,21,21,20,20,0.9523809523809523,1
1852,Ledbury,22,22,21,21,0.9545454545454546,1
1852,Leeds (1837-1929),1,1,1,1,1.0,1
1852,Leeds (1939 onw),1,1,1,1,1.0,1
1852,Leek,22,22,20,20,0.9090909090909091,1
1852,Leicester (1837-1974),13,13,9,9,0.6923076923076923,1
1852,Leigh,10,10,8,8,0.8,1
1852,Leighton Buzzard,16,16,16,16,1.0,1
1852,Leominster,27,27,22,22,0.8148148148148148,1
1852,Lewes,43,43,39,39,0.9069767441860465,1
1852,Lewisham,7,7,7,7,1.0,1
1852,Lexden,35,35,33,33,0.9428571428571428,1
1852,Leyburn,42,42,36,36,0.8571428571428571,1
1852,Lichfield,36,36,26,26,0.7222222222222222,1
1852,Lincoln,99,99,82,82,0.8282828282828283,1
1852,Linton,22,22,21,21,0.9545454545454546,1
1852,Liskeard,26,26,25,25,0.9615384615384616,1
1852,Liverpool (1837-1934),1,1,0,0,0.0,0
1852,Liverpool (1969 onw),1,1,0,0,0.0,0
1852,Llandilofawr,12,12,11,11,0.9166666666666666,1
1852,Llandovery,11,11,7,7,0.6363636363636364,1
1852,Llanelly (to 1974),9,9,4,4,0.4444444444444444,1
1852,Llanfyllin,22,22,11,11,0.5,1
1852,Llanrwst,18,18,10,10,0.5555555555555556,1
1852,Loddon,41,41,39,39,0.9512195121951219,1
1852,London City,97,97,69,69,0.711340206185567,1
1852,Longtown,14,14,9,9,0.6428571428571429,1
1852,Loughborough,26,26,21,21,0.8076923076923077,1
1852,Louth,90,90,84,84,0.9333333333333333,1
1852,Ludlow,32,32,26,26,0.8125,1
1852,Luton,12,12,10,10,0.8333333333333334,1
1852,Lutterworth,37,37,36,36,0.972972972972973,1
1852,Lymington,7,7,6,6,0.8571428571428571,1
1852,Macclesfield,41,41,41,41,1.0,1
1852,Machynlleth,11,11,8,8,0.7272727272727273,1
1852,Madeley,12,12,11,11,0.9166666666666666,1
1852,Maidstone,16,16,15,15,0.9375,1
1852,Maldon (1837-1972),32,32,32,32,1.0,1
1852,Maldon (1974 onw),32,32,32,32,1.0,1
1852,Malling,22,22,21,21,0.9545454545454546,1
