district,rows,matched,match_rate
Blything,49,47,0.9591836734693877
Newport Pagnell,49,47,0.9591836734693877
Banbury,50,48,0.96
Dover,25,24,0.96
Wayland,25,24,0.96
Caistor,76,73,0.9605263157894737
Newark,51,49,0.9607843137254902
Liskeard,26,25,0.9615384615384616
Southam,26,25,0.9615384615384616
Guisborough,27,26,0.9629629629629629
Hitchin,27,26,0.9629629629629629
Risbridge,27,26,0.9629629629629629
Biggleswade,28,27,0.9642857142857143
Okehampton,28,27,0.9642857142857143
Stokesley,28,27,0.9642857142857143
Totnes,28,27,0.9642857142857143
Nantwich,86,83,0.9651162790697675
Brackley,29,28,0.9655172413793104
Chippenham,29,28,0.9655172413793104
Langport,29,28,0.9655172413793104
Martley (from 1934),29,28,0.9655172413793104
Martley (to 1913),29,28,0.9655172413793104
Wallingford,29,28,0.9655172413793104
Bridgnorth,30,29,0.9666666666666667
Crediton,30,29,0.9666666666666667
Kettering,30,29,0.9666666666666667
Sherborne,30,29,0.9666666666666667
Market Bosworth,31,30,0.967741935483871
Belford,32,31,0.96875
Freebridge Lynn,32,31,0.96875
Huntingdon,33,32,0.9696969696969697
Blandford,34,33,0.9705882352941176
Stow (to 1935),34,33,0.9705882352941176
Wantage,34,33,0.9705882352941176
Woodstock,34,33,0.9705882352941176
Uppingham,36,35,0.9722222222222222
Yeovil,36,35,0.9722222222222222
Lutterworth,37,36,0.972972972972973
Stamford,37,36,0.972972972972973
Taunton (1837-1974),38,37,0.9736842105263158
Taunton (1996 onw),38,37,0.9736842105263158
Basingstoke,39,38,0.9743589743589743
Otley,39,38,0.9743589743589743
Barnstaple,40,39,0.975
Wincanton,41,40,0.975609756097561
Market Harborough,42,41,0.9761904761904762
Basford,44,43,0.9772727272727273
Royston,45,44,0.9777777777777777
Thingoe,48,47,0.9791666666666666
St Thomas,50,49,0.98
Castle Ward,78,77,0.9871794871794872
Horncastle,69,69,1.0
Southwell,62,62,1.0
Walsingham,53,53,1.0
Plomesgate,42,42,1.0
Macclesfield,41,41,1.0
Shipston on Stour,36,36,1.0
Congleton,32,32,1.0
Hartismere,32,32,1.0
Maldon (1837-1972),32,32,1.0
Maldon (1974 onw),32,32,1.0
Tendring,32,32,1.0
Eastry,31,31,1.0
Isle of Wight,30,30,1.0
South Molton,30,30,1.0
Cosford,28,28,1.0
Honiton,28,28,1.0
Samford,28,28,1.0
Rochford,27,27,1.0
Wellingborough,27,27,1.0
Beaminster,26,26,1.0
Chorley,26,26,1.0
Kingsbridge,26,26,1.0
Thrapston,26,26,1.0
Weobley,26,26,1.0
Billericay,25,25,1.0
Dunmow,25,25,1.0
East Ashford,25,25,1.0
Blackburn,24,24,1.0
Hoxne,24,24,1.0
Mutford,24,24,1.0
Tavistock,24,24,1.0
Truro,24,24,1.0
Tynemouth,24,24,1.0
Bedminster,23,23,1.0
Hollingbourne,23,23,1.0
Steyning,23,23,1.0
Towcester,23,23,1.0
Penkridge,22,22,1.0
Upton upon Severn,22,22,1.0
Whitby,22,22,1.0
Bodmin,21,21,1.0
Dartford,21,21,1.0
Guiltcross,21,21,1.0
Ormskirk,21,21,1.0
Hardingstone,20,20,1.0
Penzance,20,20,1.0
Alresford,19,19,1.0
Ampthill,19,19,1.0
Bideford,19,19,1.0
Eton,19,19,1.0
Keynsham,19,19,1.0
Milton,19,19,1.0
Shaftesbury,19,19,1.0
Marlborough,18,18,1.0
Newent,18,18,1.0
Atherstone,17,17,1.0
Barnsley,17,17,1.0
Sevenoaks,17,17,1.0
Winslow,17,17,1.0
Ipswich,16,16,1.0
Leighton Buzzard,16,16,1.0
Reigate,16,16,1.0
Woburn,16,16,1.0
Askrigg,15,15,1.0
Cuckfield,15,15,1.0
Epsom,15,15,1.0
Kingsclere (1837-1932),15,15,1.0
Thakeham,15,15,1.0
Battle,14,14,1.0
Braintree,14,14,1.0
Camelford,14,14,1.0
Eastbourne,14,14,1.0
Godstone,14,14,1.0
Hinckley,14,14,1.0
Foleshill,13,13,1.0
Staines,13,13,1.0
Thorne,13,13,1.0
West Ashford,12,12,1.0
Westbourne,12,12,1.0
Amersham,11,11,1.0
Calne,11,11,1.0
Croydon,11,11,1.0
Droxford,11,11,1.0
Newcastle upon Tyne,11,11,1.0
Oxford,11,11,1.0
Solihull,11,11,1.0
Tenterden,11,11,1.0
Thanet,11,11,1.0
Barnet,10,10,1.0
Brentford,10,10,1.0
Dursley,10,10,1.0
Falmouth,10,10,1.0
Horsham,10,10,1.0
Stone,10,10,1.0
Uxbridge,10,10,1.0
Westbury,10,10,1.0
Bradford upon Avon,9,9,1.0
Fareham,9,9,1.0
Gateshead,9,9,1.0
Hendon (1837-1947),9,9,1.0
Hendon (1947-1999),9,9,1.0
Nuneaton,9,9,1.0
Spalding,9,9,1.0
Stourbridge,9,9,1.0
Tonbridge,9,9,1.0
Dorking,8,8,1.0
Redruth (to 1974),8,8,1.0
St Albans,8,8,1.0
Ecclesall Bierlow,7,7,1.0
Keighley (1837-1946),7,7,1.0
Keighley (1974 onw),7,7,1.0
Lewisham,7,7,1.0
North Witchford,7,7,1.0
Barton upon Irwell (1850-1934),6,6,1.0
Cranbrook,6,6,1.0
Farnham,6,6,1.0
Havant,6,6,1.0
Hemel Hempstead,6,6,1.0
Melksham,6,6,1.0
Southampton,6,6,1.0
Ticehurst,6,6,1.0
Wandsworth,6,6,1.0
Watford,6,6,1.0
Aston (1837-1924),5,5,1.0
Bala,5,5,1.0
Kings Norton (1913-1924),5,5,1.0
Kings Norton (to 1912),5,5,1.0
Petworth (to 1935),5,5,1.0
Richmond Sry,5,5,1.0
Scilly Islands,5,5,1.0
Kings Lynn,4,4,1.0
Radford,4,4,1.0
Salford,4,4,1.0
Christchurch (1837-1925),3,3,1.0
Christchurch (1932-1974),3,3,1.0
Reading (1837-1974),3,3,1.0
Salisbury (1837-69),3,3,1.0
Salisbury (1895 onw),3,3,1.0
Bury St Edmunds,2,2,1.0
Coventry,2,2,1.0
Gravesend (1837-1941),2,2,1.0
Gravesend (1980 onw),2,2,1.0
Plymouth,2,2,1.0
St Saviour Southwark,2,2,1.0
Alverstoke,1,1,1.0
Berwick,1,1,1.0
Camberwell,1,1,1.0
East Stonehouse,1,1,1.0
Leeds (1837-1929),1,1,1.0
Leeds (1939 onw),1,1,1.0
Newington,1,1,1.0
Pancras (1837-1901),1,1,1.0
St Martin in the Fields,1,1,1.0
